FIRE_NUM,Block,Plot ID,Fire Name,Size (acres),Disc_Date,Decld_Date,General Cause,Fire Type,Wind Speed,Wind Direction,Temp,RH,R_Spread,Burn Index,Comments,% Plot Burned,Fire_Interval
54008,D,D,Double Lightening,2502,6/11/1954,1954-06-18,Natural,WF,NA,NA,NA,NA,NA,NA,,100,5431
69006,D,D,Bad News,765,4/24/1969,1969-05-10,Incindiary,WF,NA,S-SW,NA,NA,40,25,,100,2091
75004,D,D,BLKS ACDE,3895,1/14/1975,1975-01-23,Fire Use,RX,10,N-NE,75,48,NA,NA,,100,1113
78002,D,D,BLOCKD1978,787,1/31/1978,1978-05-02,Unknown,WF,5,E-NW,75,27,NA,NA,,100,1601
82013,D,D,PINE BLOCK D,981,6/20/1982,1982-07-02,Fire Use,RX,5,ESE,92,56,NA,28,,100,1505
86040,D,D,LOCK D,882,8/3/1986,1986-08-08,Unknown,WF,8,SSW,96,53,NA,NA,,100,1130
89070,D,D,BLOCK D,909,9/6/1989,1989-09-10,Unknown,WF,7,E,95,45,30,NA,,100,305
95013,D,D,BLOCKSDEG,1719,7/8/1990,1990-07-31,Unknown,NA,7,SSE,88,57,10,NA,,100,1731
99066,D,D,E112,5948,4/4/1995,1995-05-08,Unknown,WF,6,E,73,55,NA,NA,Suppression,100,2920
3012,D,D,BLOCK D,970,4/2/2003,2003-04-27,Unknown,RX,8,NE,76,53,NA,56,,100,5545
18049,D,D,BLOCK D,967,6/7/2018,2018-07-10,Fire Use,RX,NA,NA,NA,NA,NA,NA,,100,NA
51012,A,A,LONG PINE KEY 1,6400,6/16/1951,1951-06-16,Natural,WF,10,SE,NA,NA,NA,NA,,100,2041
57001,A,A,MILLS,18870,1/16/1957,1957-01-30,Incindiary,WF,30,SW-S,NA,NA,NA,NA,,100,3288
66001,A,A,BLK A,2250,1/17/1966,1966-01-19,Fire Use,RX,15,NE,NA,NA,NA,NA,,100,2089
71029,A,A,BLOCK A,2250,10/7/1971,1971-11-25,Fire Use,RX,3,S-SE,85,52,NA,NA,,100,1195
75004,A,A,BLKS ACDE,3895,1/14/1975,1975-01-23,Fire Use,RX,10,N-NE,75,48,NA,NA,,100,2396
81031,A,A,BLOCK A,944,8/6/1981,1981-10-30,Fire Use,RX,5,"SE,NW,NE",90,49,NA,14,,0,1493
85085,A,A,BLOCK A&B,606,9/7/1985,1985-09-08,Fire Use,RX,6,E,92,50,NA,22,MISC,0,329
86039,A,A,BLOCK A,640,8/2/1986,1986-08-09,Unknown,RX,8,SE,93,66,NA,NA,,100,1427
90032,A,A,BLOCK A,2240,6/29/1990,1990-07-01,Unknown,NA,8,SE,97,99,NA,NA,,100,2069
96092,A,A,BLOCK B,3343,2/27/1996,1996-05-04,Unknown,RX,20,SW,85,88,NA,52,,100,1238
99071,A,A,BLOCK A,2645,7/19/1999,1999-08-30,Unknown,WF,5,SE,93,51,NA,NA,,0,2158
5044,A,A,BLOCK A,1518,6/15/2005,2005-06-20,NA,RX,23,ENE,94,53,NA,NA,,100,4392
17065,A,A,Block A,1250,6/24/2017,2017-07-17,NA,RX,NA,NA,NA,NA,NA,NA,,100,NA
69004,F1,F,Block F,1150,4/23/1969,1969-04-24,Fire Use,RX,NA,NA,NA,NA,NA,NA,,100,2040
74063,F1,F,PINE BLOCK F,741,11/23/1974,1974-12-02,Incindiary,WF,8,E-SE,75,54,NA,NA,,100,1832
79033,F1,F,BLK F,850,11/29/1979,1979-12-08,Unknown,NA,8,N-NE,77,48,NA,NA,,100,967
82019,F1,F,BLOCK F,698,7/23/1982,1982-08-19,Fire Use,RX,4,"SE,ESE,NE",92,55,NA,21,,100,2206
88019,F1,F,BLOCK F,875,8/6/1988,1988-08-10,Unknown,NA,NA,NA,NA,NA,NA,NA,,100,2853
96049,F1,F,BLOCK F1,300,5/29/1996,1996-06-25,Unknown,NA,10,WNW,92,55,NA,NA,,100,736
98037,F1,F,BLCOKF1,287,6/4/1998,1998-07-05,Unknown,WF,5,SW,90,50,NA,NA,Suppression,100,771
45,F1,F,BLK BCF1,1450,7/14/2000,2000-07-31,Natural,WF,3,NA,86,62,9,NA,,100,691
2062,F1,F,PINELNDF1,287,6/5/2002,2002-06-01,Incindiary,WF,2,E,81,70,NA,NA,,100,1105
5043,F1,F,F1 & F2,871,6/14/2005,2005-06-17,NA,NA,22,ENE,94,55,NA,NA,,100,3953
16045,F1,F,Long Pine Key,3639,4/10/2016,2016-06-15,Campfire,WF,NA,NA,NA,NA,NA,NA,,100,NA
73014,AA,AA,MISSLE BASE,270,2/7/1973,1973-02-06,Fire Use,RX,12,NE-SE-E,79,45,NA,NA,,100,63
73033,AA,AA,MISSLE BASE,900,4/11/1973,1973-04-11,Fire Use,RX,12,N-NE,78,29,NA,NA,,50,2395
79031,AA,AA,CAMP EVER,171,11/1/1979,1979-11-15,Unknown,NA,15,E-SE,83,63,NA,NA,,25,1259
83003,AA,AA,DONUT 1,536,4/13/1983,1983-05-24,Fire Use,RX,9,SE-ESE,84,47,NA,57,,25,736
85018,AA,AA,DONUT 2,506,4/18/1985,1985-06-04,Unknown,NA,10,NE,90,48,NA,74,,0,1548
89045,AA,AA,PINESWEST,85,7/14/1989,1989-07-15,Unknown,NA,6,S,92,51,NA,NA,,100,1932
94087,AA,AA,BLOCK AA,75,10/28/1994,1994-11-16,Unknown,NA,6,NE,78,69,NA,NA,,50,2091
