Species,SPCODE,Family,Common Name,Life Form,Habitat,Status,Notes,Old Species name,OLDSPCODE,
Acalypha chamaedrifolia,ACACHA,Euphorbiaceae,Bastard copperleaf,Forb,Pineland,,"finely scalloped, alt, green-grey soft lvs. low-grow, pinelands. floral bracts pers.",,ACACHA,
Acmella oppositifolia var. repens,ACMOPP,Asteraceae,oppositeleaf spotflower,Forb,Wet,,"Opp toothed lvs, angled stem, few spaced yel rays, disc infor columnar. ",,ACMOPP,
Acrostichum aureum,ACRAUR,Pteridaceae,Golden Leather Fern,Fern,,,,,ACRAUR,
Acrostichum danaeifolium,ACRDAN,Pteridaceae,Giant Leather fern,Fern,,,"large fern, pinnate-only 1 divided, often brown spores on back",,ACRDAN,
Adiantum melanoleucum,ADIMEL,Pteridaceae,Fragrant Maidenhair,Fern,Hammock,END-FL,,,ADIMEL,
Adiantum tenerum,ADITEN,Pteridaceae,Brittle Maiden-hair,Fern,Hammock,END-FL,,,ADITEN,
Aeschynomene pratensis var. pratensis,AESPRAPRA,Fabaceae,Shy-leaf,Forb,Wet,,Pea in Taylor Slough,Aeschynomene pratensis,AESPRA,
Agalinis linifolia,AGALIN,Scrophulariaceae,False foxglove,Forb,Wet,,Opp thin lvs. Small V notch where lvs meet unlike Justicia-pern,,AGALIN,
Agalinis maritima var. grandiflora,AGAMARGRA,Scrophulariaceae,Saltmash False Foxglove,Forb,Wet,,,Agalinis maritima,AGAMAR,
Agalinis purpurea,AGAPUR,Scrophulariaceae,False foxglove,Forb,Wet,,,,AGAPUR,
Agalinis spp.,AGASPP,Scrophulariaceae,False foxglove,Forb,Wet,,"Tall, thin herb, persistent dead. Beautiful pink flwrs. Thin opp lvs. ",,AGASPP,
Aletris bracteata,ALEBRA,Liliaceae,Colic root,Forb,Prairie,END-FL,"Basal rosette, tips yel-org. Glades (occ. rocklands). Spike inlfor, wh. ",,ALEBRA,
Alvarado amorphoides,ALVAMO,Picramniaceae,Mexican alvaradoa,Shrub,,END-FL,"Odd-pinnate lvs, round, delicate leaflets",,,
Amaranthus australis,AMAAUS,Amaranthaceae,Carless,Forb,,,Mark and Lori found in East Everglades,,AMAAUS,
Ammannia latifolia,AMMLAT,Lythraceae,Valley readstem,Forb,Wet,,"Sessile, alt, ellip/lin lvs. Solitary, axillary flwrs. Not common. ",,AMMLAT,
Andropogon glomeratus,ANDGLO,Poaceae,Broomsedge.,Grass,Prairie,,"Blue-green. Upper pinelands. Large, bunchy inflor.  ",,ANDGLO,
Andropogon ternarius,ANDTER,Poaceae,Firegrass,Grass,Pineland,,"Higher pinelands.Often blue cast to lvs. Culms flattened/planar, hariy at base. ",Andropogon cabanisii,ANDCAB,
