BLOCK	TRANSECT	PLOT	MODULE	SUBMODULE	CORNER	SAMPLING_ID	SPECIES	SPECIES_CORRECTED	SPCODE	FREQUENCY	DATE	DATE_CORRECTED	>1M	CONERCONER	DATE OF FIRE	TIME SINCE FIRE (DAYS)	SPECIES_NEW_NAMES	NEW_SPCODE
F1	1	1	1	10	R	F1_1_1_1_10_R	AMMANNIA LATIFOLIA       	AMMANNIA LATIFOLIA       	AMMLAT	4	3/6/1998	3/6/1998						
F1	1	1	1	10	R	F1_1_1_1_10_R	CYPERUS HASPANS        	CYPERUS HASPAN	CYPHAS	18	3/6/1998	3/6/1998						
F1	1	1	1	10	R	F1_1_1_1_10_R	LUDWIGIA OCTOVALVIS          	LUDWIGIA OCTOVALVIS	LUDOCT	2	3/6/1998	3/6/1998						
F1	1	1	2	0.1	A	F1_1_1_2_0.1_A	CLADIUM JAMAICENSE       	CLADIUM JAMAICENSE	CLAJAM	1	2/2/1998	2/2/1998						
F1	1	1	2	0.1	A	F1_1_1_2_0.1_A	DICHANTHELIUM ACICULARE    	DICHANTHELIUM ACICULARE	DICACI	1	2/2/1998	2/2/1998						
F1	1	1	2	0.1	A	F1_1_1_2_0.1_A	EVOLVULUS SERICEUS       	EVOLVULUS SERICEUS	EVOSER	1	2/2/1998	2/2/1998						
F1	1	1	2	0.1	A	F1_1_1_2_0.1_A	HYPERICUM HYPERICOIDES     	HYPERICUM HYPERICOIDES	HYPHYP	1	2/2/1998	2/2/1998						
F1	1	1	2	0.1	A	F1_1_1_2_0.1_A	HYPTIS ALATA          	HYPTIS ALATA	HYPALA	1	2/2/1998	2/2/1998						
F1	1	1	2	0.1	A	F1_1_1_2_0.1_A	JUSTICIA OVATA         	JUSTICIA OVATA	JUSOVA	1	2/2/1998	2/2/1998						
F1	1	1	2	0.1	A	F1_1_1_2_0.1_A	LUDWIGIA MICROCARPA      	LUDWIGIA MICROCARPA	LUDMIC	1	2/2/1998	2/2/1998						
